injury_id,angle_id,frame_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,track_conf,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf,velocity,acceleration
injury_01,angle_02,0,1059.9,289.2,1666.6,857.2,0.922,1106.34,1112.42,1111.62,1124.33,1152.69,1144.09,1208.79,1212.1,1287.72,1191.26,1319.59,1316.4,1375.93,1285.18,1417.88,1416.88,1575.95,373.01,369.83,353.46,378.61,329.33,448.58,356.14,571.8,339.78,635.24,320.3,572.41,546.59,727.39,668.89,776.19,738.26,0.255,0.184,0.038,0.58,0.097,0.99,0.976,0.988,0.949,0.957,0.876,0.998,0.997,0.987,0.981,0.929,0.926,0.0,
injury_01,angle_02,1,943.9,296.3,1533.7,863.2,0.916,1059.63,1056.76,1062.66,1037.53,1049.67,1073.34,1074.23,1147.09,1202.19,1267.69,1267.16,1238.39,1217.59,1298.1,1129.51,1473.85,1305.63,378.23,369.47,370.48,368.32,364.17,412.9,395.08,416.64,383.07,385.44,360.0,555.65,546.9,700.71,613.33,783.69,664.97,0.435,0.232,0.18,0.336,0.174,0.972,0.955,0.969,0.947,0.934,0.899,0.997,0.996,0.984,0.979,0.947,0.944,8.8465,8.8465
injury_01,angle_02,2,938.5,268.3,1493.7,791.8,0.896,1009.62,1014.89,1009.75,1019.0,1014.19,1058.54,1016.46,1067.47,1035.7,1091.46,1034.15,1164.14,1107.76,1278.91,1057.22,1439.24,1136.41,339.28,332.87,328.99,334.36,327.1,376.01,374.65,384.15,401.76,384.25,381.96,534.13,536.15,670.77,627.28,727.17,721.06,0.215,0.116,0.082,0.221,0.094,0.844,0.876,0.872,0.896,0.813,0.847,0.985,0.987,0.948,0.953,0.867,0.881,7.9944,-0.8521
injury_01,angle_02,3,939.8,376.2,1504.5,923.7,0.882,1403.78,1395.34,1398.77,1350.84,1370.85,1292.63,1351.42,1322.84,1296.06,1415.77,1303.36,1147.17,1212.06,1143.51,1343.54,1003.27,1195.74,453.16,439.06,444.15,429.44,443.9,484.99,489.2,569.94,576.65,606.6,676.01,635.52,629.56,768.89,755.23,830.19,816.51,0.306,0.03,0.341,0.04,0.812,0.942,0.997,0.8,0.997,0.742,0.989,0.993,0.999,0.965,0.992,0.872,0.942,5.6162,-2.3782
injury_01,angle_02,4,850.2,270.1,1452.1,894.5,0.918,979.86,995.08,965.38,1040.39,982.74,1052.08,1065.31,1044.4,1129.12,956.7,1103.43,1115.14,1150.09,1014.99,1231.39,1014.42,1366.15,342.29,330.82,334.03,334.9,332.01,406.77,369.74,500.0,404.58,573.75,412.75,542.49,526.46,671.44,636.42,819.82,732.85,0.8,0.833,0.278,0.937,0.245,0.999,0.977,0.995,0.773,0.966,0.573,0.998,0.991,0.99,0.96,0.916,0.848,7.5575,1.9414
injury_01,angle_02,5,882.3,299.1,1338.7,918.8,0.92,985.58,995.11,984.65,1025.68,1026.78,1048.64,1082.94,987.99,1055.9,930.41,955.63,1173.35,1201.93,1096.82,1139.89,1170.32,1274.74,368.73,357.62,354.58,362.54,344.76,445.84,384.3,545.62,425.51,482.58,447.67,578.01,544.88,730.03,656.29,846.14,720.73,0.619,0.701,0.103,0.916,0.077,0.998,0.924,0.997,0.685,0.986,0.587,0.998,0.988,0.991,0.951,0.949,0.879,8.0217,0.4642
injury_01,angle_02,6,953.3,242.7,1398.2,908.7,0.881,1040.32,1048.45,1044.9,1057.81,1058.7,1087.95,1085.23,1030.42,1093.98,1026.49,1010.5,1224.67,1197.6,1261.75,1100.79,1362.63,1186.34,337.52,328.48,325.28,322.77,311.92,359.97,346.3,397.44,383.52,368.93,374.76,526.74,514.56,684.62,607.59,822.71,744.35,0.433,0.388,0.13,0.591,0.088,0.959,0.793,0.959,0.654,0.904,0.587,0.984,0.965,0.969,0.925,0.911,0.863,7.422,-0.5997
injury_01,angle_02,7,1036.7,125.0,1456.8,828.5,0.662,1133.31,1140.46,1129.73,1157.05,1132.56,1167.43,1151.26,1162.4,1224.68,1146.92,1243.97,1236.52,1216.23,1236.76,1223.1,1379.44,1368.39,291.45,283.77,282.32,277.51,272.96,305.39,299.9,377.37,336.32,384.53,302.04,443.25,450.89,629.35,648.94,733.3,768.81,0.072,0.047,0.02,0.195,0.043,0.849,0.722,0.911,0.769,0.853,0.696,0.989,0.984,0.98,0.97,0.943,0.928,9.0916,1.6696
injury_01,angle_02,8,1127.8,141.1,1522.4,807.6,0.887,1196.37,1208.44,1185.01,1232.02,1180.99,1230.98,1201.86,1261.66,1176.75,1210.74,1169.93,1288.83,1285.7,1225.23,1347.45,1340.84,1449.63,242.25,231.39,228.52,222.38,216.04,261.15,259.31,323.56,309.42,329.27,319.06,405.23,414.18,548.6,577.76,677.64,715.96,0.687,0.613,0.315,0.655,0.196,0.981,0.933,0.968,0.804,0.924,0.731,0.99,0.981,0.976,0.955,0.905,0.868,7.0625,-2.0291
injury_01,angle_02,9,1113.5,97.3,1549.3,777.9,0.898,1216.61,1238.74,1207.97,1278.9,1209.69,1292.46,1218.57,1255.11,1158.41,1202.96,1118.03,1356.77,1316.29,1281.18,1328.88,1346.49,1477.99,180.27,169.52,165.4,183.81,171.33,256.61,229.66,357.95,258.09,385.56,272.28,412.43,406.24,567.95,559.52,711.02,688.21,0.907,0.914,0.532,0.937,0.26,0.998,0.971,0.995,0.792,0.978,0.672,0.997,0.989,0.99,0.961,0.938,0.872,12.2613,5.1988
